Material,Voltage_V,Area_cm2,Experiment,Block_Config,Range,Messwert_Avg,Messwert_Delta,Mass_g_Avg,Mass_g_Delta,Fn_avg,Fn_delta,mu_avg,mu_delta
Weiss,11V,40.0,Voltage_Var,B,1.4-1.5,1.45,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.2180064289344146,0.007517531833046958
Weiss,11V,40.0,Voltage_Var,B,1.4-1.55,1.475,0.07500000000000007,678.0,0.1,6.651180000000001,0.000981,0.2217651604677666,0.011276242038865155
Weiss,11V,40.0,Voltage_Var,B,1.4-1.55,1.475,0.07500000000000007,678.0,0.1,6.651180000000001,0.000981,0.2217651604677666,0.011276242038865155
Schwarz,7V,39.0,Voltage_Var,B,2.35-2.5,2.425,0.07499999999999996,678.0,0.1,6.651180000000001,0.000981,0.36459695873514164,0.011276322824749122
Schwarz,7V,39.0,Voltage_Var,B,2.35-2.55,2.45,0.09999999999999987,678.0,0.1,6.651180000000001,0.000981,0.3683556902684937,0.01503502429524244
Schwarz,7V,39.0,Voltage_Var,B,2.4-2.6,2.5,0.10000000000000009,678.0,0.1,6.651180000000001,0.000981,0.3758731533351976,0.015035028342717935
Schwarz,9V,39.0,Voltage_Var,B,2.4-2.55,2.4749999999999996,0.07499999999999996,678.0,0.1,6.651180000000001,0.000981,0.37211442180184556,0.011276328166845205
Schwarz,9V,39.0,Voltage_Var,B,2.4-2.55,2.4749999999999996,0.07499999999999996,678.0,0.1,6.651180000000001,0.000981,0.37211442180184556,0.011276328166845205
Schwarz,9V,39.0,Voltage_Var,B,2.45-2.6,2.5250000000000004,0.07499999999999996,678.0,0.1,6.651180000000001,0.000981,0.37963188486854965,0.011276333617961048
Schwarz,11V,39.0,Voltage_Var,B,2.4-2.5,2.45,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.3683556902684937,0.007517659388450441
Schwarz,11V,39.0,Voltage_Var,B,2.45-2.55,2.5,0.04999999999999982,678.0,0.1,6.651180000000001,0.000981,0.3758731533351976,0.007517667483239519
Schwarz,11V,39.0,Voltage_Var,B,2.5-2.6,2.55,0.050000000000000044,678.0,0.1,6.651180000000001,0.000981,0.38339061640190153,0.007517675741550775
